category,current_price,stock_remaining,weekly_sales,day,month,weekend,recommended_price
Bakery,321.73,398,103,Wednesday,March,0,337.82
Personal Care,376.88,477,96,Thursday,December,0,395.72
Personal Care,13.15,87,105,Thursday,January,0,14.73
Bakery,44.22,357,54,Friday,July,0,44.22
Personal Care,369.19,88,23,Wednesday,March,0,369.19
Beverages,107.03,94,65,Monday,August,0,112.38
Snacks,100.96,31,96,Tuesday,April,0,113.08
Personal Care,491.64,447,53,Thursday,November,0,491.64
Bakery,435.5,86,11,Wednesday,February,0,391.95
Frozen,71.09,33,44,Monday,October,0,74.64
Snacks,244.17,345,98,Monday,January,0,256.38
Dairy,140.38,490,1,Saturday,October,1,126.34
Dairy,57.45,268,102,Monday,July,0,64.34
Vegetables,493.58,390,35,Thursday,August,0,444.22
Household,306.14,173,48,Saturday,June,1,321.45
Household,410.26,482,47,Saturday,July,1,410.26
Frozen,309.3,500,46,Sunday,June,1,309.3
Bakery,11.51,446,90,Thursday,December,0,12.09
Beverages,22.58,63,112,Friday,May,0,25.29
Snacks,190.53,317,88,Saturday,August,1,200.06
Vegetables,212.43,97,1,Saturday,June,1,191.19
Dairy,320.55,448,6,Sunday,December,1,288.5
Household,342.19,120,78,Thursday,July,0,359.3
Bakery,180.68,481,120,Thursday,November,0,202.36
Bakery,369.8,151,78,Tuesday,December,0,388.29
Beverages,436.23,449,74,Sunday,December,1,458.04
Vegetables,25.56,255,102,Monday,May,0,28.63
Vegetables,493.74,240,22,Thursday,February,0,444.37
Fruits,334.69,124,32,Tuesday,March,0,334.69
Bakery,61.68,367,4,Tuesday,June,0,55.51
Frozen,385.49,113,93,Wednesday,November,0,431.75
Fruits,476.24,344,16,Saturday,March,1,428.62
Vegetables,320.44,252,12,Sunday,December,1,288.4
Household,437.25,478,74,Sunday,October,1,459.11
Bakery,325.55,194,117,Saturday,December,1,364.62
Frozen,330.42,402,72,Sunday,July,1,346.94
Snacks,119.54,60,38,Monday,February,0,119.54
Bakery,176.72,304,120,Tuesday,December,0,197.93
Bakery,290.69,66,110,Wednesday,July,0,325.57
Dairy,162.29,303,69,Tuesday,July,0,170.4
Frozen,166.63,187,103,Saturday,March,1,186.63
Vegetables,335.23,303,29,Monday,July,0,301.71
Dairy,273.76,236,41,Tuesday,May,0,273.76
Snacks,254.92,234,19,Friday,May,0,229.43
Beverages,376.06,435,103,Sunday,December,1,421.19
Dairy,303.45,159,65,Saturday,February,1,318.62
Personal Care,498.46,362,74,Thursday,November,0,523.38
Snacks,252.56,361,49,Monday,June,0,252.56
Beverages,415.66,108,109,Saturday,April,1,465.54
Dairy,462.35,398,23,Sunday,August,1,416.12
Frozen,156.56,418,85,Sunday,March,1,164.39
Dairy,278.49,173,55,Saturday,August,1,292.41
Household,381.28,201,10,Friday,December,0,343.15
Personal Care,148.36,473,25,Saturday,September,1,133.52
Frozen,57.69,166,97,Sunday,October,1,64.61
Dairy,426.41,364,39,Thursday,November,0,426.41
Beverages,292.81,227,90,Thursday,May,0,307.45
Beverages,112.79,412,96,Tuesday,December,0,118.43
Dairy,187.49,439,74,Monday,November,0,196.86
Beverages,194.51,219,87,Sunday,March,1,217.85
Dairy,57.06,499,61,Tuesday,January,0,57.06
Bakery,490.34,333,44,Friday,July,0,490.34
Beverages,317.22,207,32,Monday,February,0,317.22
Snacks,204.36,155,89,Friday,March,0,228.88
Frozen,390.17,408,86,Saturday,February,1,409.68
Fruits,433.8,333,49,Wednesday,November,0,433.8
Fruits,189.99,62,15,Monday,February,0,189.99
Fruits,324.29,466,66,Tuesday,January,0,324.29
Fruits,144.13,382,13,Sunday,October,1,129.72
Beverages,198.14,331,90,Thursday,May,0,208.05
Beverages,58.73,33,92,Sunday,September,1,65.78
Beverages,208.61,359,3,Thursday,September,0,187.75
Vegetables,393.9,272,63,Monday,September,0,413.59
Vegetables,359.74,405,84,Monday,April,0,377.73
Bakery,98.53,307,89,Tuesday,January,0,103.46
Vegetables,229.14,161,16,Monday,March,0,206.23
Snacks,329.79,45,72,Wednesday,January,0,346.28
Bakery,490.16,260,39,Wednesday,September,0,490.16
Beverages,217.3,484,85,Monday,April,0,228.17
Personal Care,32.62,485,67,Sunday,May,1,32.62
Vegetables,228.01,296,63,Saturday,June,1,239.41
Vegetables,456.28,181,78,Friday,September,0,479.09
Snacks,347.09,340,105,Monday,April,0,388.74
Dairy,102.16,154,110,Sunday,April,1,114.42
Beverages,305.05,111,76,Wednesday,May,0,320.3
Beverages,367.26,217,10,Friday,May,0,330.53
Personal Care,197.07,463,21,Thursday,August,0,177.36
Bakery,472.92,347,55,Saturday,March,1,472.92
Vegetables,109.84,323,94,Wednesday,November,0,115.33
Snacks,360.08,289,85,Saturday,September,1,378.08
Beverages,215.65,79,41,Sunday,July,1,226.43
Frozen,22.7,310,32,Monday,May,0,20.43
Bakery,270.42,351,71,Thursday,February,0,283.94
Household,323.69,186,117,Wednesday,May,0,362.53
Beverages,435.74,116,36,Monday,February,0,435.74
Frozen,489.95,114,49,Monday,February,0,514.45
Beverages,267.97,449,40,Friday,August,0,241.17
Bakery,269.19,359,74,Sunday,May,1,282.65
Vegetables,142.82,51,115,Monday,March,0,159.96
Household,473.79,200,24,Wednesday,December,0,426.41
Vegetables,280.32,452,109,Thursday,August,0,313.96
Beverages,136.94,352,66,Saturday,March,1,143.79
Beverages,79.91,291,95,Wednesday,January,0,83.91
Household,356.68,128,87,Friday,July,0,399.48
Fruits,99.72,182,103,Thursday,September,0,111.69
Personal Care,145.15,220,67,Saturday,April,1,152.41
Personal Care,321.46,45,40,Thursday,June,0,321.46
Bakery,320.99,40,94,Tuesday,February,0,359.51
Beverages,291.91,44,96,Wednesday,September,0,326.94
Fruits,406.09,6,55,Saturday,September,1,426.39
Beverages,245.03,264,88,Saturday,September,1,257.28
Bakery,208.68,316,25,Sunday,December,1,187.81
Dairy,359.94,360,69,Saturday,June,1,377.94
Snacks,497.17,339,118,Sunday,September,1,556.83
Dairy,307.61,494,22,Saturday,September,1,276.85
Snacks,95.66,188,108,Tuesday,September,0,107.14
Household,476.72,217,64,Thursday,March,0,500.56
Household,485.17,174,117,Saturday,April,1,543.39
Vegetables,426.88,440,16,Wednesday,May,0,384.19
Fruits,153.84,110,1,Saturday,November,1,138.46
Frozen,116.56,157,119,Saturday,September,1,130.55
Dairy,468.35,457,80,Sunday,August,1,491.77
Dairy,184.31,316,59,Wednesday,May,0,184.31
Household,62.51,180,114,Saturday,March,1,70.01
Frozen,183.72,52,56,Thursday,April,0,192.91
Bakery,269.26,461,20,Thursday,February,0,242.33
Fruits,13.39,394,85,Wednesday,April,0,14.06
Fruits,203.73,154,47,Thursday,March,0,203.73
Vegetables,407.66,56,57,Saturday,August,1,428.04
Beverages,78.54,383,56,Monday,June,0,78.54
Snacks,64.23,146,6,Tuesday,July,0,57.81
Frozen,374.52,462,5,Tuesday,November,0,337.07
Snacks,474.7,492,86,Wednesday,February,0,498.44
Frozen,249.64,254,103,Saturday,December,1,279.6
Beverages,169.19,392,100,Thursday,September,0,177.65
Frozen,74.39,491,14,Sunday,January,1,66.95
Beverages,86.22,257,2,Sunday,November,1,77.6
Snacks,35.5,425,44,Thursday,October,0,35.5
Dairy,222.82,149,37,Thursday,February,0,222.82
Frozen,131.4,79,94,Friday,March,0,147.17
Snacks,147.76,59,111,Wednesday,December,0,165.49
Snacks,336.5,220,26,Thursday,December,0,302.85
Bakery,353.56,258,79,Tuesday,April,0,371.24
Beverages,122.4,68,52,Monday,May,0,128.52
Snacks,465.26,219,3,Friday,April,0,418.73
Bakery,433.53,195,53,Friday,May,0,433.53
Snacks,118.67,219,62,Monday,September,0,124.6
Frozen,325.5,156,15,Wednesday,June,0,292.95
Personal Care,472.07,365,54,Tuesday,June,0,472.07
Dairy,99.06,1,7,Saturday,December,1,99.06
Household,113.87,242,36,Friday,February,0,113.87
Frozen,100.57,486,63,Wednesday,June,0,100.57
Personal Care,64.65,343,2,Saturday,September,1,58.19
Beverages,172.29,380,104,Wednesday,December,0,192.96
Vegetables,306.31,122,84,Wednesday,April,0,321.63
Frozen,52.74,55,17,Saturday,December,1,52.74
Bakery,30.11,496,117,Saturday,April,1,33.72
Snacks,355.28,474,13,Monday,September,0,319.75
Household,157.72,243,98,Tuesday,September,0,176.65
Beverages,31.47,99,54,Friday,December,0,33.04
Personal Care,446.88,389,110,Sunday,September,1,500.51
Household,448.51,230,81,Saturday,February,1,470.94
Frozen,43.18,215,68,Friday,January,0,45.34
Beverages,303.59,357,17,Wednesday,January,0,273.23
Dairy,399.25,356,25,Saturday,July,1,359.32
Fruits,345.5,446,66,Monday,March,0,345.5
Fruits,377.86,197,72,Sunday,July,1,396.75
Frozen,307.54,106,24,Monday,March,0,307.54
Snacks,300.14,5,113,Sunday,September,1,336.16
Fruits,256.87,369,68,Wednesday,May,0,269.71
Snacks,155.22,138,71,Monday,March,0,162.98
Snacks,32.35,122,38,Monday,November,0,32.35
Beverages,471.6,143,119,Tuesday,May,0,528.19
Dairy,324.78,128,106,Tuesday,September,0,363.75
Bakery,10.69,178,81,Friday,June,0,11.22
Household,50.79,362,114,Friday,May,0,56.88
Beverages,210.09,314,38,Wednesday,January,0,210.09
Dairy,413.73,113,94,Wednesday,March,0,463.38
Personal Care,486.09,276,85,Sunday,October,1,510.39
Bakery,364.08,353,49,Saturday,May,1,364.08
Vegetables,111.02,227,29,Wednesday,May,0,111.02
Snacks,295.02,414,110,Sunday,July,1,330.42
Beverages,228.57,374,93,Thursday,June,0,240.0
Beverages,452.06,48,64,Tuesday,August,0,474.66
Beverages,409.64,91,25,Friday,August,0,409.64
Beverages,327.31,11,40,Tuesday,March,0,327.31
Frozen,346.81,97,9,Tuesday,February,0,312.13
Frozen,130.17,466,83,Thursday,February,0,136.68
Vegetables,77.27,385,104,Monday,October,0,86.54
Bakery,195.16,11,15,Sunday,January,1,195.16
Dairy,74.77,395,11,Wednesday,March,0,67.29
Dairy,398.28,5,102,Monday,September,0,446.07
Household,427.83,44,26,Tuesday,August,0,427.83
Fruits,409.58,158,43,Thursday,March,0,409.58
Snacks,37.38,355,35,Saturday,September,1,37.38
Bakery,20.39,23,14,Friday,May,0,20.39
Bakery,260.66,429,54,Tuesday,January,0,260.66
Snacks,21.76,219,50,Tuesday,June,0,21.76
Personal Care,120.68,451,88,Thursday,November,0,126.71
Bakery,250.99,57,29,Monday,May,0,250.99
Household,47.38,171,16,Wednesday,February,0,42.64
Dairy,306.21,92,55,Friday,June,0,321.52
Beverages,342.92,77,115,Saturday,November,1,384.07
Personal Care,316.13,147,45,Monday,May,0,316.13
Fruits,334.25,478,34,Sunday,December,1,300.82
Bakery,396.54,442,120,Tuesday,November,0,444.12
Beverages,166.93,200,58,Saturday,August,1,175.28
Bakery,65.45,219,94,Wednesday,March,0,73.3
Bakery,168.3,66,24,Sunday,July,1,168.3
Household,166.46,218,62,Saturday,July,1,174.78
Household,77.73,484,84,Tuesday,July,0,81.62
Frozen,279.18,276,69,Thursday,September,0,293.14
Vegetables,412.49,197,11,Friday,December,0,371.24
Frozen,268.2,398,89,Sunday,December,1,281.61
Snacks,354.52,121,47,Monday,April,0,354.52
Dairy,187.58,243,18,Monday,January,0,168.82
Household,186.82,435,111,Sunday,March,1,209.24
Personal Care,235.59,428,110,Friday,July,0,263.86
Snacks,113.26,115,8,Saturday,March,1,101.93
Bakery,481.41,361,19,Thursday,December,0,433.27
Dairy,351.1,218,48,Monday,December,0,351.1
Bakery,334.75,38,62,Sunday,October,1,351.49
Beverages,24.79,188,19,Monday,April,0,22.31
Bakery,16.11,426,105,Thursday,March,0,16.92
Beverages,240.18,72,96,Friday,December,0,269.0
Personal Care,240.39,370,44,Thursday,November,0,240.39
Dairy,150.52,80,8,Saturday,January,1,135.47
Beverages,256.61,6,51,Sunday,July,1,269.44
Fruits,281.54,425,34,Friday,September,0,253.39
Personal Care,357.58,217,120,Tuesday,May,0,400.49
Bakery,265.54,487,17,Saturday,April,1,238.99
Frozen,313.33,113,51,Tuesday,December,0,329.0
Vegetables,306.49,40,105,Saturday,August,1,343.27
Fruits,163.46,329,52,Sunday,July,1,163.46
Beverages,36.79,191,83,Thursday,April,0,38.63
Personal Care,63.12,40,47,Friday,June,0,66.28
Dairy,127.37,84,70,Monday,February,0,133.74
Snacks,302.58,388,117,Wednesday,April,0,338.89
Vegetables,108.85,476,5,Tuesday,May,0,97.97
Bakery,488.56,290,6,Friday,August,0,439.7
Dairy,33.54,48,40,Monday,June,0,33.54
Personal Care,479.78,257,25,Wednesday,July,0,431.8
Household,487.19,360,87,Monday,June,0,511.55
Frozen,449.29,258,13,Friday,March,0,404.36
Dairy,297.72,196,62,Friday,January,0,312.61
Personal Care,89.0,350,60,Monday,November,0,89.0
Bakery,476.88,119,114,Tuesday,November,0,534.11
Beverages,386.72,83,65,Friday,December,0,406.06
Vegetables,465.81,175,58,Sunday,March,1,489.1
Household,152.51,320,110,Thursday,January,0,170.81
Frozen,127.16,313,78,Monday,March,0,133.52
Fruits,57.73,8,19,Sunday,May,1,57.73
Vegetables,435.09,409,101,Monday,August,0,456.84
Bakery,232.86,87,120,Wednesday,March,0,260.8
Bakery,147.26,187,46,Monday,February,0,147.26
Beverages,358.22,236,34,Thursday,May,0,358.22
Fruits,328.64,72,16,Friday,August,0,328.64
Dairy,188.1,147,52,Thursday,October,0,197.5
Beverages,226.01,263,109,Friday,June,0,253.13
Household,50.91,212,65,Thursday,May,0,53.46
Dairy,314.1,330,8,Saturday,April,1,282.69
Vegetables,13.89,437,14,Wednesday,July,0,12.5
Beverages,289.37,438,10,Tuesday,July,0,260.43
Fruits,337.88,179,60,Thursday,November,0,354.77
Vegetables,451.06,239,14,Monday,March,0,405.95
Bakery,459.56,473,51,Sunday,July,1,459.56
Snacks,206.75,34,41,Wednesday,October,0,206.75
Fruits,114.19,380,61,Monday,May,0,114.19
Fruits,28.76,80,61,Tuesday,November,0,30.2
Snacks,166.89,17,77,Sunday,July,1,186.92
Dairy,468.87,186,102,Thursday,August,0,525.13
Snacks,36.5,445,3,Sunday,November,1,32.85
Frozen,142.23,326,23,Monday,March,0,128.01
Bakery,144.21,42,39,Sunday,December,1,151.42
Fruits,436.93,269,28,Saturday,May,1,436.93
Beverages,416.97,48,115,Thursday,June,0,467.01
Personal Care,90.62,179,54,Thursday,August,0,95.15
Vegetables,347.53,83,90,Thursday,June,0,389.23
Frozen,413.28,288,101,Friday,April,0,462.87
Bakery,364.13,297,79,Tuesday,June,0,382.34
Household,16.95,460,59,Tuesday,August,0,16.95
Household,65.67,497,87,Thursday,May,0,68.95
Vegetables,363.92,231,107,Sunday,March,1,407.59
Fruits,323.07,297,13,Monday,April,0,290.76
Snacks,215.89,280,100,Tuesday,October,0,241.8
Frozen,115.91,108,25,Saturday,October,1,115.91
Dairy,191.43,187,3,Wednesday,May,0,172.29
Vegetables,411.34,64,90,Thursday,November,0,460.7
Fruits,212.89,181,46,Sunday,September,1,212.89
Frozen,266.35,392,43,Monday,March,0,266.35
Fruits,219.91,91,71,Friday,March,0,230.91
Vegetables,223.58,146,109,Saturday,December,1,250.41
Frozen,320.71,360,80,Sunday,February,1,336.75
Bakery,404.91,54,12,Saturday,January,1,404.91
Frozen,60.8,384,97,Friday,September,0,63.84
Bakery,320.43,258,75,Sunday,January,1,336.45
Personal Care,427.34,109,29,Sunday,August,1,427.34
Vegetables,196.73,101,110,Thursday,February,0,220.34
Household,484.13,468,60,Thursday,November,0,484.13
Frozen,13.73,192,101,Tuesday,September,0,15.38
Personal Care,141.13,338,34,Wednesday,July,0,127.02
Snacks,12.04,466,54,Monday,January,0,12.04
Dairy,85.15,192,108,Sunday,September,1,95.37
Household,174.19,492,74,Thursday,April,0,174.19
Vegetables,487.01,99,79,Saturday,July,1,545.45
Dairy,402.65,296,55,Tuesday,November,0,402.65
Frozen,488.9,89,52,Wednesday,September,0,513.35
Beverages,224.33,51,91,Sunday,March,1,251.25
Vegetables,68.0,296,101,Thursday,November,0,76.16
Personal Care,420.3,82,42,Tuesday,February,0,420.3
Bakery,22.56,6,81,Sunday,October,1,25.27
Beverages,23.63,363,70,Monday,October,0,24.81
Frozen,22.39,376,17,Thursday,November,0,20.15
Household,101.41,335,115,Tuesday,May,0,113.58
Snacks,272.35,126,93,Sunday,July,1,305.03
Personal Care,333.04,141,11,Tuesday,November,0,299.74
Dairy,322.81,297,111,Monday,February,0,361.55
Fruits,464.33,63,14,Tuesday,May,0,417.9
Personal Care,448.36,48,10,Thursday,June,0,403.52
Snacks,201.49,252,102,Monday,July,0,225.67
Bakery,248.39,321,10,Tuesday,November,0,223.55
Frozen,193.87,161,82,Thursday,March,0,203.56
Beverages,156.39,463,23,Saturday,October,1,140.75
Dairy,67.43,176,45,Thursday,October,0,67.43
Vegetables,12.46,268,95,Wednesday,February,0,13.08
Snacks,306.99,275,3,Friday,September,0,276.29
Beverages,115.99,187,15,Tuesday,January,0,104.39
Household,77.9,43,94,Saturday,March,1,87.25
Personal Care,144.1,103,12,Wednesday,December,0,129.69
Vegetables,329.44,240,96,Sunday,August,1,368.97
Frozen,261.2,205,119,Tuesday,May,0,292.54
Beverages,106.96,434,114,Saturday,May,1,119.8
Frozen,60.42,407,99,Friday,May,0,63.44
Beverages,399.11,489,93,Thursday,July,0,419.07
Fruits,217.63,383,35,Sunday,June,1,217.63
Bakery,307.57,220,26,Friday,June,0,276.81
Household,449.97,420,9,Thursday,March,0,404.97
Dairy,479.47,130,76,Thursday,May,0,503.44
Vegetables,182.6,16,15,Tuesday,June,0,182.6
Frozen,397.54,184,32,Monday,April,0,397.54
Household,192.26,400,41,Monday,January,0,192.26
Household,347.26,368,43,Tuesday,August,0,347.26
Household,450.38,288,9,Thursday,May,0,405.34
Snacks,268.36,53,72,Wednesday,December,0,281.78
Bakery,291.23,331,54,Saturday,July,1,291.23
Household,408.56,102,26,Monday,August,0,408.56
Fruits,32.93,141,54,Monday,February,0,34.58
Fruits,93.86,168,76,Thursday,April,0,98.55
Dairy,149.67,330,101,Sunday,October,1,167.63
Dairy,456.71,146,17,Sunday,July,1,456.71
Dairy,448.96,471,68,Monday,June,0,448.96
Dairy,44.03,49,107,Sunday,July,1,49.31
Personal Care,144.59,386,45,Thursday,February,0,144.59
Vegetables,389.56,253,79,Monday,July,0,409.04
Personal Care,351.26,233,64,Sunday,November,1,368.82
Bakery,423.11,481,80,Monday,January,0,444.27
Snacks,33.44,6,18,Monday,June,0,33.44
Frozen,120.91,46,25,Saturday,June,1,120.91
Vegetables,494.89,479,89,Sunday,January,1,519.63
Personal Care,442.83,23,15,Monday,May,0,442.83
Bakery,139.23,353,79,Sunday,July,1,146.19
Personal Care,352.35,474,18,Friday,August,0,317.12
Bakery,71.88,442,19,Sunday,October,1,64.69
Frozen,322.08,343,16,Friday,September,0,289.87
Snacks,293.16,339,63,Wednesday,June,0,293.16
Fruits,120.66,136,99,Wednesday,December,0,135.14
Bakery,182.97,428,112,Tuesday,November,0,204.93
Snacks,350.53,39,64,Monday,April,0,368.06
Dairy,338.54,240,105,Thursday,April,0,379.16
Fruits,61.22,107,105,Friday,September,0,68.57
Vegetables,430.64,390,40,Saturday,August,1,430.64
Beverages,425.43,55,118,Tuesday,April,0,476.48
Household,198.93,232,112,Friday,September,0,222.8
Snacks,392.21,97,9,Wednesday,July,0,352.99
Beverages,346.27,488,112,Friday,November,0,387.82
Bakery,82.17,449,14,Saturday,February,1,73.95
Snacks,18.13,236,24,Wednesday,January,0,16.32
Fruits,334.32,232,46,Wednesday,February,0,334.32
Vegetables,51.19,221,28,Tuesday,July,0,51.19
Vegetables,221.12,171,7,Thursday,May,0,199.01
Household,57.93,333,49,Saturday,July,1,57.93
Snacks,154.06,207,23,Friday,May,0,138.65
Vegetables,307.65,266,56,Monday,November,0,307.65
Dairy,326.71,491,15,Tuesday,February,0,294.04
Dairy,448.58,295,35,Tuesday,February,0,448.58
Vegetables,59.51,116,113,Friday,December,0,66.65
Frozen,202.03,52,29,Saturday,December,1,202.03
Personal Care,252.63,88,101,Tuesday,June,0,282.95
Personal Care,355.87,148,94,Monday,February,0,398.57
Beverages,256.59,359,80,Thursday,December,0,269.42
Personal Care,427.76,353,31,Tuesday,June,0,384.98
Bakery,91.66,171,116,Thursday,March,0,102.66
Dairy,336.36,220,43,Monday,March,0,336.36
Personal Care,441.82,88,87,Sunday,January,1,494.84
Household,485.08,299,1,Thursday,April,0,436.57
Fruits,63.6,420,3,Friday,November,0,57.24
Personal Care,419.33,269,65,Tuesday,March,0,440.3
Bakery,59.0,412,95,Wednesday,August,0,61.95
Fruits,370.06,280,33,Saturday,August,1,370.06
Personal Care,188.5,7,106,Wednesday,May,0,211.12
Household,446.77,397,85,Sunday,October,1,469.11
Fruits,65.25,352,67,Saturday,November,1,68.51
Dairy,82.47,211,110,Tuesday,November,0,92.37
Beverages,185.03,16,32,Friday,December,0,185.03
Frozen,186.12,382,12,Tuesday,July,0,167.51
Bakery,483.07,450,81,Saturday,September,1,507.22
Fruits,493.79,449,68,Tuesday,May,0,493.79
Household,445.12,201,76,Thursday,May,0,467.38
Personal Care,103.38,297,67,Saturday,June,1,108.55
Bakery,222.4,233,73,Sunday,June,1,233.52
Personal Care,63.99,5,64,Saturday,March,1,67.19
Fruits,343.65,268,38,Friday,September,0,343.65
Beverages,158.79,148,9,Sunday,May,1,142.91
Dairy,232.39,112,37,Sunday,October,1,232.39
Bakery,36.06,157,1,Thursday,June,0,32.45
Dairy,34.45,71,45,Wednesday,September,0,34.45
Vegetables,85.97,45,92,Wednesday,March,0,96.29
Snacks,221.7,471,11,Wednesday,April,0,199.53
Dairy,241.86,182,32,Sunday,November,1,241.86
Frozen,217.06,496,116,Monday,May,0,243.11
Personal Care,302.55,89,73,Thursday,November,0,317.68
Household,404.15,72,88,Sunday,April,1,452.65
Personal Care,76.49,284,26,Wednesday,May,0,68.84
Bakery,155.69,475,81,Thursday,September,0,163.47
Beverages,194.22,449,107,Thursday,February,0,203.93
Beverages,268.02,356,41,Friday,November,0,268.02
Household,239.51,219,60,Thursday,July,0,251.49
Fruits,23.56,287,4,Sunday,July,1,21.2
Bakery,380.37,315,117,Wednesday,April,0,426.01
Vegetables,192.82,318,70,Friday,May,0,202.46
Dairy,380.11,202,17,Thursday,November,0,342.1
Dairy,236.78,391,112,Friday,August,0,265.19
Dairy,51.48,139,107,Saturday,February,1,57.66
Household,301.23,421,38,Friday,August,0,271.11
Household,433.51,63,95,Friday,November,0,485.53
Vegetables,372.29,28,90,Tuesday,September,0,416.96
Beverages,285.4,496,64,Tuesday,April,0,285.4
Beverages,157.44,160,93,Monday,August,0,176.33
Snacks,66.21,1,20,Friday,February,0,66.21
Vegetables,57.46,105,14,Thursday,January,0,51.71
Vegetables,227.47,29,119,Monday,May,0,254.77
Frozen,247.02,95,105,Tuesday,September,0,276.66
Personal Care,412.63,349,57,Sunday,November,1,412.63
Bakery,221.85,326,3,Tuesday,March,0,199.66
Snacks,93.68,380,90,Friday,April,0,98.36
Fruits,245.43,149,86,Monday,October,0,257.7
Fruits,190.0,141,51,Thursday,December,0,199.5
Bakery,237.34,417,55,Tuesday,January,0,237.34
Personal Care,233.97,289,50,Monday,October,0,233.97
Personal Care,26.7,334,115,Saturday,October,1,29.9
Fruits,30.89,465,46,Tuesday,August,0,30.89
Fruits,145.68,82,46,Friday,September,0,145.68
Snacks,180.93,362,68,Thursday,September,0,189.98
Bakery,95.5,78,46,Saturday,December,1,100.28
Household,235.15,440,101,Tuesday,May,0,246.91
Personal Care,462.5,35,118,Sunday,November,1,518.0
Fruits,194.5,242,78,Saturday,March,1,204.23
Vegetables,389.95,270,34,Tuesday,December,0,389.95
Household,298.54,298,45,Friday,October,0,298.54
Frozen,43.11,16,110,Saturday,March,1,48.28
Snacks,57.3,55,64,Saturday,August,1,60.16
Household,382.36,396,104,Saturday,April,1,428.24
Bakery,450.9,90,94,Thursday,July,0,505.01
Bakery,40.34,129,15,Monday,December,0,36.31
Bakery,226.35,192,78,Saturday,January,1,237.67
Beverages,167.37,358,58,Thursday,March,0,167.37
Vegetables,107.87,130,63,Thursday,November,0,113.26
Personal Care,120.49,380,21,Thursday,September,0,108.44
Snacks,52.15,13,81,Saturday,February,1,58.41
Snacks,26.29,72,115,Monday,June,0,29.44
Frozen,288.46,443,10,Wednesday,March,0,259.61
Vegetables,253.13,427,27,Friday,August,0,227.82
Vegetables,182.53,317,116,Friday,March,0,204.43
Bakery,225.05,321,49,Sunday,February,1,225.05
Bakery,72.32,265,39,Monday,February,0,72.32
Fruits,122.98,308,70,Wednesday,January,0,129.13
Snacks,412.45,149,119,Sunday,May,1,461.94
Frozen,354.6,35,112,Sunday,March,1,397.15
Personal Care,46.64,295,31,Sunday,September,1,46.64
Vegetables,163.0,317,8,Friday,December,0,146.7
Bakery,295.56,480,118,Wednesday,November,0,331.03
Dairy,25.81,216,34,Tuesday,June,0,25.81
Dairy,78.25,281,105,Saturday,June,1,87.64
Dairy,125.45,38,104,Friday,October,0,140.5
Dairy,179.46,37,54,Friday,December,0,188.43
Bakery,444.88,246,17,Wednesday,December,0,400.39
Dairy,60.99,255,65,Tuesday,November,0,64.04
Household,221.44,156,101,Sunday,April,1,248.01
Dairy,466.31,14,100,Sunday,April,1,522.27
Vegetables,307.99,195,88,Saturday,December,1,344.95
Dairy,280.72,27,50,Sunday,July,1,294.76
Beverages,220.56,219,71,Tuesday,February,0,231.59
Fruits,67.82,316,116,Wednesday,June,0,75.96
Snacks,178.13,471,8,Tuesday,April,0,160.32
Bakery,298.42,117,53,Saturday,September,1,313.34
Dairy,495.56,8,112,Saturday,April,1,555.03
Dairy,47.54,65,57,Tuesday,May,0,49.92
Dairy,163.92,309,84,Tuesday,May,0,172.12
Beverages,307.0,246,85,Monday,November,0,322.35
Bakery,47.43,481,70,Tuesday,August,0,47.43
Household,449.84,440,29,Thursday,December,0,404.86
Personal Care,471.3,400,71,Wednesday,November,0,494.87
Snacks,268.15,137,41,Saturday,September,1,268.15
Vegetables,61.15,178,116,Thursday,December,0,68.49
Fruits,147.09,105,117,Tuesday,September,0,164.74
Snacks,159.42,284,27,Monday,June,0,143.48
Beverages,27.58,121,90,Thursday,November,0,30.89
Fruits,476.99,11,64,Sunday,January,1,500.84
Personal Care,146.2,197,39,Sunday,February,1,146.2
Dairy,146.76,313,50,Thursday,January,0,146.76
Frozen,198.48,23,29,Tuesday,July,0,198.48
Beverages,333.36,273,7,Saturday,May,1,300.02
Dairy,275.36,179,120,Monday,October,0,308.4
Household,462.12,465,34,Sunday,October,1,415.91
Snacks,381.05,175,93,Sunday,October,1,426.78
Frozen,434.21,401,94,Saturday,January,1,455.92
Bakery,281.11,488,93,Saturday,May,1,295.17
Vegetables,237.12,294,93,Friday,September,0,248.98
Personal Care,89.65,196,60,Saturday,April,1,94.13
Beverages,454.78,144,103,Saturday,May,1,509.35
Bakery,499.41,395,70,Wednesday,June,0,524.38
Frozen,28.92,141,47,Wednesday,November,0,28.92
Personal Care,393.39,415,99,Friday,January,0,413.06
Bakery,160.38,339,42,Sunday,May,1,160.38
Beverages,227.47,9,57,Monday,August,0,238.84
Dairy,483.28,246,82,Sunday,September,1,507.44
Snacks,210.22,297,11,Wednesday,October,0,189.2
Vegetables,163.87,33,57,Tuesday,May,0,172.06
Personal Care,137.17,254,17,Tuesday,November,0,123.45
Beverages,81.98,317,84,Monday,April,0,86.08
Bakery,330.75,95,88,Friday,August,0,370.44
Household,30.56,368,30,Monday,December,0,27.5
Personal Care,487.89,9,87,Sunday,June,1,546.44
Vegetables,361.98,308,31,Wednesday,February,0,325.78
Bakery,258.4,58,66,Monday,April,0,271.32
Snacks,169.64,191,107,Sunday,November,1,190.0
